"FDV","0000013","20250521|081403","20250519_1623409_101059_087526","R09_0_ESP_W15 Estepona","Ekshibarova/Vlasselaer","Martinez Vaquero/Martinez Vaquero","","GEW","https://www.oddsportal.com/tennis/spain/itf-w15-estepona-women-doubles/ekshibarova-vlada-vlasselaer-clara-martinez-vaquero-ana-martinez-vaquero-maria-j3bYrZeC/","","","","","","","","","","1.18","4.47","","","","","","",""
"FDV","0000014","20250521|081407","20250519_1623009_101106_099815","R09_0_TUN_W15 Monastir","Bhatia/Palanivel","Bosman/Shaikh","","GEW","https://www.oddsportal.com/tennis/tunisia/itf-w15-monastir-20-women-doubles/bhatia-diva-palanivel-mirudhula-coco-bosman-shaikh-hibah-KWPlGFoS/","","","","","","","","","","8.12","1.06","","","","","","",""
"DV","0000015","20250521|081410","20250519_1596309_101003_017376","R09_2_FRA_Internationaux de Strasbourg - Strasbourg","Guo/Melichar-Martinez","Aoyama/Chan","|K|0.563523|EK|G||OL1|1.85654|EOL1|OL2|2.3828|EOL2|OH1|178|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.81916|ENAOL1|NAOL2|2.6174|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/wta-strasbourg-doubles/guo-hanyu-melichar-nicole-aoyama-shuko-chan-hao-ching-SA0z2wHl/","","1.7","2.18","","","","","1.67","2.15","1.75","2.18","","","","","","",""
"FSM","0000016","20250521|081423","20250519_2070204_076801_091721","R04_0_BIH_M15 Brcko","Basic","Ratti","|K|0.41609|EK|G||OL1|2.44133|EOL1|OL2|1.8404|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-brcko-men/basic-nikola-ratti-lucio-8OMBznxR/#ah;2;2.50;2","2.5","1.93","1.82","","","","","","","1.93","1.82","","","","","","",""
"FSM","0000016","20250521|081429","20250519_2070204_076801_091721","R04_0_BIH_M15 Brcko","Basic","Ratti","|K|0.41609|EK|G||OL1|2.44133|EOL1|OL2|1.8404|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-brcko-men/basic-nikola-ratti-lucio-8OMBznxR/#ah;2;1.50;1","1.5","1.56","2.34","","","","","","","1.56","2.34","","","","","","",""
"FSM","0000016","20250521|081427","20250519_2070204_076801_091721","R04_0_BIH_M15 Brcko","Basic","Ratti","|K|0.41609|EK|G||OL1|2.44133|EOL1|OL2|1.8404|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-brcko-men/basic-nikola-ratti-lucio-8OMBznxR/#ah;2;-1.50;1","-1.5","3.53","1.27","","","","","","","3.53","1.27","","","","","","",""
"FSM","0000016","20250521|081415","20250519_2070204_076801_091721","R04_0_BIH_M15 Brcko","Basic","Ratti","|K|0.41609|EK|G||OL1|2.44133|EOL1|OL2|1.8404|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-brcko-men/basic-nikola-ratti-lucio-8OMBznxR/","","2.28","1.58","","","","","2.25","1.58","2.28","1.58","","","","","","",""
"FSM","0000017","20250521|081439","20250519_2070204_090391_081781","R04_0_BIH_M15 Brcko","Fondriest","Kupcic","|K|0.26097|EK|G||OL1|3.88992|EOL1|OL2|1.4552|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-brcko-men/fondriest-matteo-kupcic-jan-Ozm8GQpe/#ah;2;4.50;2","4.5","1.71","2.05","","","","","","","1.71","2.05","","","","","","",""
"FSM","0000017","20250521|081441","20250519_2070204_090391_081781","R04_0_BIH_M15 Brcko","Fondriest","Kupcic","|K|0.26097|EK|G||OL1|3.88992|EOL1|OL2|1.4552|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-brcko-men/fondriest-matteo-kupcic-jan-Ozm8GQpe/#ah;2;3.50;2","3.5","2.03","1.74","","","","","","","2.03","1.74","","","","","","",""
"FSM","0000017","20250521|081444","20250519_2070204_090391_081781","R04_0_BIH_M15 Brcko","Fondriest","Kupcic","|K|0.26097|EK|G||OL1|3.88992|EOL1|OL2|1.4552|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-brcko-men/fondriest-matteo-kupcic-jan-Ozm8GQpe/#ah;2;1.50;1","1.5","1.81","1.93","","","","","","","1.81","1.93","","","","","","",""
"FSM","0000017","20250521|081442","20250519_2070204_090391_081781","R04_0_BIH_M15 Brcko","Fondriest","Kupcic","|K|0.26097|EK|G||OL1|3.88992|EOL1|OL2|1.4552|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-brcko-men/fondriest-matteo-kupcic-jan-Ozm8GQpe/#ah;2;-1.50;1","-1.5","4.69","1.17","","","","","","","4.69","1.17","","","","","","",""
"FSM","0000017","20250521|081433","20250519_2070204_090391_081781","R04_0_BIH_M15 Brcko","Fondriest","Kupcic","|K|0.26097|EK|G||OL1|3.88992|EOL1|OL2|1.4552|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-brcko-men/fondriest-matteo-kupcic-jan-Ozm8GQpe/","","2.81","1.4","","","","","2.8","1.4","2.99","1.4","","","","","","",""
"FSM","0000018","20250521|081456","20250519_2069005_098385_069729","R05_0_CHI_M25 Coquimbo","Aguilar Cardozo","Boscardin Dias","|K|0.364797|EK|G||OL1|2.78575|EOL1|OL2|1.6906|EOL2|OH1|1|EOH1|OH2|158|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/chile/itf-m25-coquimbo-men/aguilar-cardozo-joaquin-boscardin-dias-pedro-I1hoiHVr/#ah;2;4.50;2","4.5","1.57","2.28","","","","","","","1.57","2.28","","","","","","",""
